Date,Time,InternalTemperature,ExternalTemperature
2022-09-03,2022-09-03 14:00:00.000000000,71.50689655172414,70.83379310344833
2022-09-04,2022-09-04 14:00:00.000000000,71.90041379310344,68.16413793103445
2022-09-05,2022-09-05 14:00:00.000000000,68.16262068965517,66.4503448275862
2022-09-06,2022-09-06 14:00:00.000000000,75.28193103448277,70.89034482758619
2022-09-07,2022-09-07 09:40:42.857143040,64.71885714285713,64.38285714285715
2022-09-08,2022-09-08 14:00:00.000000000,71.01903448275863,67.49724137931035
2022-09-09,2022-09-09 14:00:00.000000000,67.31103448275863,64.45793103448275
2022-09-10,2022-09-10 14:00:00.000000000,61.18110344827586,59.07586206896558
2022-09-11,2022-09-11 14:00:00.000000000,72.87862068965516,70.03448275862068
2022-09-12,2022-09-12 14:00:00.000000000,73.54524137931034,68.49931034482756
2022-09-13,2022-09-13 12:15:00.000000000,61.96563106796116,60.92524271844662
2023-03-27,2023-03-27 14:20:00.000000000,78.8,70.0
2023-04-11,2023-04-11 17:02:50.833333248,76.52196721311476,63.6527777777778
2023-04-12,2023-04-12 13:57:32.054794752,72.78194690265487,64.31301369863012
2023-04-13,2023-04-13 13:56:25.714285824,68.50142857142858,65.79251700680267
2023-04-14,2023-04-14 13:57:32.054794752,65.82105263157895,59.32739726027397
2023-04-15,2023-04-15 13:57:32.054794752,66.09076923076923,58.85342465753426
2023-04-16,2023-04-16 13:57:32.054794752,66.70785714285714,62.686301369862996
2023-04-17,2023-04-17 13:01:23.193277184,55.947272727272725,49.463025210084055
2023-04-18,2023-04-18 13:57:32.054794752,64.12210526315789,58.51164383561645
2023-04-19,2023-04-19 13:57:32.054794752,73.8725,68.21506849315068
2023-04-20,2023-04-20 13:56:19.591836672,77.22933333333333,70.60068027210883
2023-04-21,2023-04-21 13:57:32.054794752,71.62219178082192,66.59657534246573
2023-04-22,2023-04-22 12:00:03.030302976,56.4690909090909,49.128282828282835
2023-04-25,2023-04-25 11:35:00.000000000,80.42,51.39999999999978
